,Chinese name,Foreign name,Other name,who,When/Where/What,Score,About
97,一一, ,Yi yi  /  Yi yi: A One and a Two,导演:杨德昌EdwardYang\主演:吴念真/李凯莉KellyLee/金燕玲Elai...,2000/中国台湾日本/剧情爱情家庭,9.1,我们都曾经是一一。
98,狩猎,Jagten,诬网(港)  /  谎言的烙印(台),导演:托马斯·温特伯格ThomasVinterberg\主演:麦斯·米科尔森MadsMik...,2012/丹麦瑞典/剧情,9.1,人言可畏。
99,唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar,导演:李力持Lik-ChiLee\主演:周星驰StephenChow/巩俐LiGong/陈...,1993/中国香港/喜剧爱情古装,8.7,华太师是黄霑，吴镇宇四大才子之一。
100,7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物,导演:李焕庆Hwan-kyeongLee\主演:柳承龙Seung-yongRyoo/朴信惠Shi...,2013/韩国/剧情喜剧家庭,8.9,《我是山姆》的《美丽人生》。
101,被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台),导演:中岛哲也TetsuyaNakashima\主演:中谷美纪MikiNakatani/瑛太E...,2006/日本/剧情歌舞,8.9,以戏谑来戏谑戏谑。
102,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:克里斯蒂安·贝尔Christ...,2012/美国英国/剧情动作科幻犯罪惊悚,8.9,诺兰就是保证。
103,请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台) ,导演:卢卡·瓜达尼诺LucaGuadagnino\主演:艾米·汉莫ArmieHammer/...,2017/意大利法国巴西美国/剧情爱情同性,8.8,沉醉在电影的情感和视听氛围中无法自拔。
104,爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台),导演:理查德·林克莱特RichardLinklater\主演:伊桑·霍克EthanHawke...,1995/美国奥地利瑞士/剧情爱情,8.8,缘分是个连绵词，最美不过一瞬。
105,断背山,Brokeback Mountain,断臂山  /  BBM,导演:李安AngLee\主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,2005/美国加拿大/剧情爱情同性家庭,8.8,每个人心中都有一座断背山。
106,剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华,导演:蒂姆·波顿TimBurton\主演:约翰尼·德普JohnnyDepp/薇诺娜·...,1990/美国/剧情奇幻爱情,8.7,浪漫忧郁的成人童话。
107,入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台),导演:泷田洋二郎YôjirôTakita\主演:本木雅弘MasahiroMotoki/...,2008/日本/剧情,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
108,第六感,The Sixth Sense,鬼眼(港)  /  灵异第六感(台),导演:M·奈特·沙马兰M.NightShyamalan\主演:布鲁斯·威利斯BruceWi...,1999/美国/剧情悬疑惊悚,8.9,深入内心的恐怖，出人意料的结局。
109,重庆森林,重慶森林,Chungking Express,导演:王家卫KarWaiWong\主演:林青霞BrigitteLin/金城武TakeshiK...,1994/中国香港/剧情爱情,8.8,寂寞没有期限。
110,勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),导演:梅尔·吉布森MelGibson\主演:梅尔·吉布森MelGibson/苏菲·玛...,1995/美国/动作传记剧情历史战争,8.9,史诗大片的典范。
111,超能陆战队,Big Hero 6,大英雄联盟(港)  /  大英雄天团(台),导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams\主演:斯科特...,2014/美国/喜剧动作科幻动画冒险,8.7,Balalala~~~
112,甜蜜蜜, ,Comrades: Almost a Love Story,导演:陈可辛PeterChan\主演:黎明LeonLai/张曼玉MaggieCheung/...,1996/中国香港/剧情爱情,8.9,相逢只要一瞬间，等待却像是一辈子。
